Frequency (Hz)	Level (dB)
21.533203	-25.742928
43.066406	-32.753117
64.599609	-35.211113
86.132813	-37.001369
107.666016	-38.497330
129.199219	-38.890820
150.732422	-39.551525
172.265625	-39.465862
193.798828	-38.998138
215.332031	-38.616795
236.865234	-38.270844
258.398438	-39.701153
279.931641	-39.207138
301.464844	-38.557961
322.998047	-37.313919
344.531250	-21.394136
366.064453	-15.994736
387.597656	-21.419596
409.130859	-31.346182
430.664063	-32.656170
452.197266	-37.194721
473.730469	-41.495384
495.263672	-41.550369
516.796875	-41.208279
538.330078	-40.700741
559.863281	-40.981831
581.396484	-42.040081
602.929688	-42.211460
624.462891	-41.877235
645.996094	-41.207241
667.529297	-39.967155
689.062500	-33.372669
710.595703	-18.632843
732.128906	-14.632780
753.662109	-19.525249
775.195313	-33.440853
796.728516	-39.716267
818.261719	-41.088417
839.794922	-41.645668
861.328125	-40.847046
882.861328	-39.649509
904.394531	-39.328259
925.927734	-40.358440
947.460938	-41.363178
968.994141	-40.531075
990.527344	-39.435974
1012.060547	-39.050102
1033.593750	-38.182583
1055.126953	-25.947519
1076.660156	-12.861874
1098.193359	-11.268604
1119.726563	-16.089413
1141.259766	-27.411631
1162.792969	-38.559769
1184.326172	-39.847965
1205.859375	-40.354141
1227.392578	-40.031715
1248.925781	-39.408958
1270.458984	-38.777718
1291.992188	-39.405235
1313.525391	-40.158794
1335.058594	-40.080963
1356.591797	-39.666862
1378.125000	-39.313080
1399.658203	-37.673222
1421.191406	-25.858860
1442.724609	-16.877335
1464.257813	-14.923792
1485.791016	-17.491148
1507.324219	-26.358658
1528.857422	-37.067181
1550.390625	-38.965107
1571.923828	-39.569016
1593.457031	-39.843903
1614.990234	-39.949677
1636.523438	-39.706028
1658.056641	-39.539093
1679.589844	-39.601707
1701.123047	-39.427628
1722.656250	-39.677197
1744.189453	-38.636818
1765.722656	-33.519684
1787.255859	-18.744137
1808.789063	-10.958757
1830.322266	-10.769204
1851.855469	-13.280680
1873.388672	-20.854712
1894.921875	-30.272137
1916.455078	-37.248516
1937.988281	-37.058140
1959.521484	-36.782005
1981.054688	-37.585575
2002.587891	-37.824657
2024.121094	-37.441174
2045.654297	-37.012054
2067.187500	-37.677505
2088.720703	-38.395905
2110.253906	-37.757542
2131.787109	-32.286568
2153.320313	-17.967638
2174.853516	-12.998772
2196.386719	-13.703197
2217.919922	-14.131178
2239.453125	-17.944998
2260.986328	-29.747776
2282.519531	-36.760906
