Frequency (Hz)	Level (dB)
21.533203	-18.233715
43.066406	-19.817951
64.599609	-23.815125
86.132813	-26.657993
107.666016	-29.063156
129.199219	-31.208221
150.732422	-32.686314
172.265625	-33.824478
193.798828	-34.887707
215.332031	-34.964329
236.865234	-34.908295
258.398438	-36.163002
279.931641	-36.867783
301.464844	-36.655964
322.998047	-32.236160
344.531250	-16.954475
366.064453	-12.687873
387.597656	-19.006264
409.130859	-33.123783
430.664063	-36.485321
452.197266	-38.273933
473.730469	-39.633770
495.263672	-40.097870
516.796875	-40.507313
538.330078	-41.131519
559.863281	-41.343670
581.396484	-40.923672
602.929688	-40.072567
624.462891	-41.137794
645.996094	-40.161640
667.529297	-36.426479
689.062500	-23.888462
710.595703	-11.658724
732.128906	-9.100950
753.662109	-15.026113
775.195313	-30.524027
796.728516	-39.838535
818.261719	-40.862526
839.794922	-40.751816
861.328125	-40.637115
882.861328	-40.538715
904.394531	-40.433983
925.927734	-40.179028
947.460938	-40.683994
968.994141	-39.790230
990.527344	-38.663300
1012.060547	-37.282658
1033.593750	-33.458614
1055.126953	-17.755714
1076.660156	-10.097174
1098.193359	-9.656213
1119.726563	-14.802213
1141.259766	-28.218935
1162.792969	-38.279419
1184.326172	-39.180435
1205.859375	-39.221420
1227.392578	-39.352692
1248.925781	-39.206669
1270.458984	-39.639755
1291.992188	-39.699772
1313.525391	-39.325634
1335.058594	-38.020767
1356.591797	-36.613991
1378.125000	-35.611153
1399.658203	-28.952097
1421.191406	-17.303232
1442.724609	-13.902843
1464.257813	-12.763398
1485.791016	-17.061234
1507.324219	-28.389040
1528.857422	-35.965103
1550.390625	-37.724480
1571.923828	-38.821400
1593.457031	-39.045422
1614.990234	-38.998127
1636.523438	-39.116749
1658.056641	-38.736057
1679.589844	-38.778996
1701.123047	-38.195000
1722.656250	-37.301502
1744.189453	-35.679344
1765.722656	-23.730530
1787.255859	-15.517717
1808.789063	-13.067836
1830.322266	-12.828136
1851.855469	-17.086578
1873.388672	-26.185989
1894.921875	-33.034344
1916.455078	-35.019161
1937.988281	-34.271915
1959.521484	-35.404713
1981.054688	-36.432621
2002.587891	-36.870770
2024.121094	-36.611374
2045.654297	-36.255085
2067.187500	-37.297489
2088.720703	-36.973141
2110.253906	-33.546612
2131.787109	-24.388479
2153.320313	-18.930971
2174.853516	-17.965443
2196.386719	-17.351717
2217.919922	-19.703323
2239.453125	-26.253721
2260.986328	-34.674229
2282.519531	-35.553871
2304.052734	-36.896416
2325.585938	-36.380203
2347.119141	-36.612019
2368.652344	-37.209457
2390.185547	-36.970570
2411.718750	-37.235645
2433.251953	-36.339428
2454.785156	-35.768688
2476.318359	-32.740738
2497.851563	-26.900742
2519.384766	-25.219530
2540.917969	-24.952145
2562.451172	-24.612572
2583.984375	-25.193022
2605.517578	-29.035822
2627.050781	-35.701344
2648.583984	-36.930355
2670.117188	-37.706791
2691.650391	-37.304031
2713.183594	-37.482948
2734.716797	-37.828541
2756.250000	-37.567116
2777.783203	-36.985363
2799.316406	-36.442890
2820.849609	-34.983849
2842.382813	-27.993370
2863.916016	-23.236271
2885.449219	-22.745550
2906.982422	-21.873358
2928.515625	-20.665359
2950.048828	-22.291075
2971.582031	-25.449005
2993.115234	-31.302683
3014.648438	-34.162594
3036.181641	-35.938683
3057.714844	-36.362198
3079.248047	-36.859936
3100.781250	-37.036003
3122.314453	-36.485836
3143.847656	-36.403267
3165.380859	-36.254723
3186.914063	-35.028522
3208.447266	-29.947342
3229.980469	-25.724419
3251.513672	-24.271011
3273.046875	-24.127489
3294.580078	-23.019602
3316.113281	-23.607946
3337.646484	-26.609783
3359.179688	-31.418606
3380.712891	-33.320240
3402.246094	-34.262058
3423.779297	-35.753666
3445.312500	-35.752914
3466.845703	-35.558426
3488.378906	-35.677948
3509.912109	-35.491837
3531.445313	-34.788197
3552.978516	-27.804667
3574.511719	-22.787966
3596.044922	-21.821100
3617.578125	-21.834673
3639.111328	-19.723423
3660.644531	-19.135408
3682.177734	-20.335701
3703.710938	-21.561798
3725.244141	-26.381748
3746.777344	-32.074471
3768.310547	-33.498333
3789.843750	-33.782139
3811.376953	-33.555466
3832.910156	-34.144104
3854.443359	-33.452961
3875.976563	-33.351662
3897.509766	-30.745337
3919.042969	-23.820066
3940.576172	-20.415215
3962.109375	-20.047955
3983.642578	-19.502806
4005.175781	-17.640747
4026.708984	-18.986229
4048.242188	-22.076267
4069.775391	-22.739285
4091.308594	-26.379801
4112.841797	-30.310526
4134.375000	-31.058559
4155.908203	-31.396400
4177.441406	-31.492918
4198.974609	-32.128098
4220.507813	-32.087849
4242.041016	-31.276045
4263.574219	-26.656042
4285.107422	-22.740082
4306.640625	-22.039940
4328.173828	-23.608086
4349.707031	-22.325415
4371.240234	-19.152670
4392.773438	-20.419237
4414.306641	-21.350365
4435.839844	-21.496542
4457.373047	-25.157391
4478.906250	-29.611401
4500.439453	-30.114063
4521.972656	-30.773323
4543.505859	-30.550917
4565.039063	-30.600935
4586.572266	-30.917873
4608.105469	-30.645271
4629.638672	-28.478903
4651.171875	-26.510370
4672.705078	-26.166836
4694.238281	-27.119152
4715.771484	-25.898783
4737.304688	-25.080173
4758.837891	-24.938583
4780.371094	-24.326582
4801.904297	-24.628405
4823.437500	-27.433891
4844.970703	-28.437912
4866.503906	-28.610409
4888.037109	-28.859432
4909.570313	-29.118822
4931.103516	-29.443598
4952.636719	-29.571081
4974.169922	-27.306206
4995.703125	-23.949621
5017.236328	-23.527359
5038.769531	-22.314724
5060.302734	-21.718836
5081.835938	-21.292063
5103.369141	-20.475933
5124.902344	-21.804758
5146.435547	-22.369267
5167.968750	-22.702833
5189.501953	-23.891016
5211.035156	-25.692415
5232.568359	-27.448088
5254.101563	-27.735584
5275.634766	-28.021521
5297.167969	-27.751017
5318.701172	-26.058580
5340.234375	-21.771358
5361.767578	-18.216518
5383.300781	-17.651621
5404.833984	-18.597631
5426.367188	-18.749182
5447.900391	-17.398647
5469.433594	-16.278311
5490.966797	-16.735674
5512.500000	-17.916168
5534.033203	-18.589224
5555.566406	-19.921375
5577.099609	-23.080355
5598.632813	-25.712439
5620.166016	-26.947474
5641.699219	-27.702873
5663.232422	-27.968493
5684.765625	-25.562210
5706.298828	-21.844076
5727.832031	-20.702103
5749.365234	-20.679367
5770.898438	-21.902580
5792.431641	-23.664436
5813.964844	-23.364735
5835.498047	-21.896532
5857.031250	-22.864857
5878.564453	-24.028021
5900.097656	-23.934532
5921.630859	-25.453518
5943.164063	-27.678574
5964.697266	-29.741608
5986.230469	-29.853739
6007.763672	-29.614908
6029.296875	-29.400585
6050.830078	-26.288118
6072.363281	-24.250160
6093.896484	-24.264830
6115.429688	-23.953682
6136.962891	-24.813114
6158.496094	-23.945208
6180.029297	-21.645147
6201.562500	-20.846661
6223.095703	-22.313562
6244.628906	-23.744236
6266.162109	-25.176657
6287.695313	-24.727364
6309.228516	-26.502308
6330.761719	-28.699535
6352.294922	-28.843527
6373.828125	-29.029135
6395.361328	-28.451471
6416.894531	-27.167439
6438.427734	-25.140850
6459.960938	-24.643118
6481.494141	-24.473188
6503.027344	-24.825010
6524.560547	-24.864027
6546.093750	-24.588671
6567.626953	-23.007975
6589.160156	-23.105257
6610.693359	-24.707047
6632.226563	-25.348505
6653.759766	-25.825603
6675.292969	-27.127586
6696.826172	-28.760176
6718.359375	-28.738144
6739.892578	-28.468367
6761.425781	-27.748741
6782.958984	-27.001860
6804.492188	-26.217283
6826.025391	-25.308523
6847.558594	-26.400814
6869.091797	-27.014647
6890.625000	-27.134493
6912.158203	-25.833412
6933.691406	-25.448133
6955.224609	-25.127712
6976.757813	-26.057411
6998.291016	-26.517408
7019.824219	-27.643528
7041.357422	-28.062143
7062.890625	-28.248825
7084.423828	-29.434725
