Frequency (Hz)	Level (dB)
21.533203	-20.729074
43.066406	-22.590254
64.599609	-26.589350
86.132813	-28.989292
107.666016	-30.839392
129.199219	-33.126957
150.732422	-34.331242
172.265625	-35.398537
193.798828	-35.881947
215.332031	-36.041180
236.865234	-36.587261
258.398438	-37.825863
279.931641	-36.844120
301.464844	-36.741447
322.998047	-33.972824
344.531250	-18.200941
366.064453	-10.761710
387.597656	-14.863279
409.130859	-32.374695
430.664063	-36.981232
452.197266	-38.523994
473.730469	-41.447083
495.263672	-41.829773
516.796875	-41.192646
538.330078	-41.112450
559.863281	-40.899803
581.396484	-40.845886
602.929688	-41.455490
624.462891	-41.139282
645.996094	-40.325447
667.529297	-39.587475
689.062500	-35.494480
710.595703	-16.017164
732.128906	-7.306358
753.662109	-9.740715
775.195313	-25.175072
796.728516	-37.851101
818.261719	-39.232605
839.794922	-39.881336
861.328125	-40.494564
882.861328	-40.205269
904.394531	-39.559551
925.927734	-40.011139
947.460938	-39.837822
968.994141	-40.080994
990.527344	-40.122101
1012.060547	-39.115417
1033.593750	-37.516342
1055.126953	-33.339039
1076.660156	-17.624571
1098.193359	-8.688798
1119.726563	-9.650937
1141.259766	-21.792109
1162.792969	-36.260891
1184.326172	-39.044514
1205.859375	-39.269867
1227.392578	-39.933155
1248.925781	-38.913834
1270.458984	-37.866825
1291.992188	-39.005589
1313.525391	-39.090813
1335.058594	-38.348610
1356.591797	-37.730534
1378.125000	-37.120247
1399.658203	-36.112671
1421.191406	-34.241657
1442.724609	-20.552261
1464.257813	-12.561008
1485.791016	-13.201586
1507.324219	-21.966816
1528.857422	-33.944382
1550.390625	-36.987762
1571.923828	-38.369843
1593.457031	-39.802654
1614.990234	-40.221107
1636.523438	-39.182655
1658.056641	-38.624832
1679.589844	-39.391014
1701.123047	-39.292976
1722.656250	-38.529751
1744.189453	-38.797390
1765.722656	-36.857769
1787.255859	-32.097969
1808.789063	-21.847063
1830.322266	-15.697248
1851.855469	-15.635712
1873.388672	-21.192646
1894.921875	-31.306591
1916.455078	-34.453960
1937.988281	-34.296864
1959.521484	-37.087559
1981.054688	-37.899849
2002.587891	-37.980354
2024.121094	-36.838055
2045.654297	-36.141895
2067.187500	-37.680752
2088.720703	-38.067478
2110.253906	-37.287209
2131.787109	-35.858597
2153.320313	-33.764435
2174.853516	-27.323652
2196.386719	-21.231045
2217.919922	-20.551537
2239.453125	-25.178968
2260.986328	-33.303242
2282.519531	-36.147144
2304.052734	-38.077621
2325.585938	-38.360332
2347.119141	-37.884739
2368.652344	-37.518330
2390.185547	-37.469238
2411.718750	-37.813255
2433.251953	-38.029701
2454.785156	-37.949581
2476.318359	-37.410480
2497.851563	-36.015007
2519.384766	-33.830212
2540.917969	-28.262756
2562.451172	-23.112003
2583.984375	-20.839933
2605.517578	-23.329718
2627.050781	-30.004206
2648.583984	-35.903313
2670.117188	-38.842926
2691.650391	-38.685249
2713.183594	-38.108379
2734.716797	-37.595287
2756.250000	-37.253967
2777.783203	-37.905827
2799.316406	-37.841278
2820.849609	-36.999584
2842.382813	-36.294750
2863.916016	-34.521893
2885.449219	-28.973524
2906.982422	-21.478561
2928.515625	-15.849856
2950.048828	-13.864213
2971.582031	-16.034721
2993.115234	-23.490227
3014.648438	-31.550385
3036.181641	-35.534721
3057.714844	-37.150867
3079.248047	-37.464569
3100.781250	-37.529583
3122.314453	-37.223198
3143.847656	-37.698406
3165.380859	-37.434780
3186.914063	-38.237785
3208.447266	-38.248299
3229.980469	-36.699932
3251.513672	-33.712818
3273.046875	-28.089317
3294.580078	-22.161226
3316.113281	-20.815285
3337.646484	-23.013609
3359.179688	-28.298544
3380.712891	-33.649178
3402.246094	-35.399605
3423.779297	-36.233986
3445.312500	-35.970631
3466.845703	-36.272255
3488.378906	-36.700855
3509.912109	-36.525841
3531.445313	-36.424347
3552.978516	-35.442165
3574.511719	-35.148228
3596.044922	-34.704292
3617.578125	-31.213610
3639.111328	-25.682236
3660.644531	-21.103647
3682.177734	-18.254417
3703.710938	-18.074221
3725.244141	-23.433907
3746.777344	-32.166599
3768.310547	-33.925358
3789.843750	-34.475193
3811.376953	-34.989925
3832.910156	-35.291153
3854.443359	-34.591408
3875.976563	-33.886715
3897.509766	-34.230488
3919.042969	-34.081970
3940.576172	-33.658501
3962.109375	-32.318092
3983.642578	-28.915394
4005.175781	-26.035021
4026.708984	-23.387951
4048.242188	-22.066139
4069.775391	-21.859966
4091.308594	-24.959126
4112.841797	-29.912050
4134.375000	-31.175486
4155.908203	-31.662811
4177.441406	-32.430496
4198.974609	-32.834110
4220.507813	-32.716003
4242.041016	-32.327515
4263.574219	-32.289284
4285.107422	-32.479393
4306.640625	-32.532902
4328.173828	-31.702740
4349.707031	-28.684875
4371.240234	-25.340166
4392.773438	-23.287949
4414.306641	-20.769999
4435.839844	-19.819796
4457.373047	-22.770477
4478.906250	-26.262169
4500.439453	-28.712345
4521.972656	-30.405750
4543.505859	-31.365780
4565.039063	-31.820633
4586.572266	-32.035625
4608.105469	-31.908125
4629.638672	-31.648605
4651.171875	-31.742615
4672.705078	-31.701843
4694.238281	-31.389252
4715.771484	-30.129566
4737.304688	-28.453081
4758.837891	-25.979374
4780.371094	-24.415546
4801.904297	-24.342373
4823.437500	-25.912079
4844.970703	-26.476154
4866.503906	-27.328627
4888.037109	-28.457315
4909.570313	-29.667074
4931.103516	-30.594681
4952.636719	-30.721056
4974.169922	-30.784456
4995.703125	-30.792768
5017.236328	-31.191462
5038.769531	-30.718868
5060.302734	-28.515802
5081.835938	-26.676825
5103.369141	-25.189531
5124.902344	-22.461092
5146.435547	-20.097513
5167.968750	-19.686998
5189.501953	-21.311886
5211.035156	-24.201056
5232.568359	-26.599609
5254.101563	-27.224625
5275.634766	-28.263498
5297.167969	-28.931126
5318.701172	-28.998745
5340.234375	-28.354454
5361.767578	-27.949341
5383.300781	-28.032192
5404.833984	-27.015663
5426.367188	-24.877125
5447.900391	-22.698305
5469.433594	-19.678511
5490.966797	-16.671574
5512.500000	-15.932442
5534.033203	-15.632759
5555.566406	-16.612669
5577.099609	-19.855114
5598.632813	-23.140406
5620.166016	-25.126986
5641.699219	-26.560596
5663.232422	-27.936201
5684.765625	-28.158422
5706.298828	-27.993113
5727.832031	-28.181704
5749.365234	-27.913601
5770.898438	-28.140110
5792.431641	-27.508541
5813.964844	-25.846565
5835.498047	-23.719357
5857.031250	-22.176886
5878.564453	-21.102829
5900.097656	-20.717846
5921.630859	-22.400187
5943.164063	-24.941986
5964.697266	-26.863634
5986.230469	-28.243084
6007.763672	-28.726137
6029.296875	-29.669533
