Frequency (Hz)	Level (dB)
21.533203	-32.087715
43.066406	-32.426296
64.599609	-35.054760
86.132813	-37.581673
107.666016	-38.535950
129.199219	-39.986317
150.732422	-40.556850
172.265625	-41.003559
193.798828	-40.893528
215.332031	-39.288029
236.865234	-38.180424
258.398438	-40.908188
279.931641	-39.883934
301.464844	-36.397221
322.998047	-21.084171
344.531250	-9.067477
366.064453	-9.423003
387.597656	-21.965626
409.130859	-34.776287
430.664063	-38.039894
452.197266	-38.919628
473.730469	-40.377193
495.263672	-39.303917
516.796875	-39.268051
538.330078	-39.454914
559.863281	-38.691559
581.396484	-37.361794
602.929688	-37.032925
624.462891	-37.488346
645.996094	-36.086258
667.529297	-28.074671
689.062500	-10.088974
710.595703	-5.919657
732.128906	-10.856703
753.662109	-23.441582
775.195313	-33.443504
796.728516	-34.730793
818.261719	-35.731140
839.794922	-35.356815
861.328125	-34.813133
882.861328	-35.109528
904.394531	-34.411304
925.927734	-33.039165
947.460938	-33.413227
968.994141	-33.804104
990.527344	-34.341892
1012.060547	-33.194820
1033.593750	-22.308798
1055.126953	-14.867661
1076.660156	-15.258109
1098.193359	-20.698391
1119.726563	-30.682180
1141.259766	-32.610531
1162.792969	-32.597607
1184.326172	-32.360031
1205.859375	-31.754417
1227.392578	-31.572515
1248.925781	-31.731798
1270.458984	-31.801079
1291.992188	-31.712467
1313.525391	-31.313377
1335.058594	-31.658875
1356.591797	-32.020603
1378.125000	-25.260302
1399.658203	-15.242426
1421.191406	-13.488667
1442.724609	-17.241110
1464.257813	-21.159521
1485.791016	-29.920645
1507.324219	-31.794765
1528.857422	-31.903994
1550.390625	-32.362648
1571.923828	-31.356621
1593.457031	-31.370220
1614.990234	-31.320526
1636.523438	-31.286448
1658.056641	-31.505602
1679.589844	-31.779215
1701.123047	-32.264141
1722.656250	-30.657816
1744.189453	-23.578512
1765.722656	-18.860168
1787.255859	-19.525784
1808.789063	-22.555859
1830.322266	-26.239805
1851.855469	-32.443611
1873.388672	-32.178020
1894.921875	-33.197422
1916.455078	-32.138916
1937.988281	-30.880129
1959.521484	-32.069229
1981.054688	-32.011051
2002.587891	-31.395218
2024.121094	-30.551687
2045.654297	-30.401712
2067.187500	-29.323271
2088.720703	-19.731094
2110.253906	-13.180906
2131.787109	-12.369643
2153.320313	-17.639399
2174.853516	-20.534315
2196.386719	-24.740135
2217.919922	-31.144924
2239.453125	-33.552032
2260.986328	-33.916348
2282.519531	-33.981335
2304.052734	-34.980042
2325.585938	-35.216774
2347.119141	-35.046391
2368.652344	-33.671162
2390.185547	-32.665653
2411.718750	-30.085194
2433.251953	-20.587036
2454.785156	-14.419396
2476.318359	-13.226888
2497.851563	-15.126767
2519.384766	-18.953657
2540.917969	-19.478119
2562.451172	-23.064699
2583.984375	-31.472809
2605.517578	-35.563145
2627.050781	-37.159901
2648.583984	-36.907108
2670.117188	-36.846027
2691.650391	-35.809036
2713.183594	-35.073002
2734.716797	-34.258884
2756.250000	-33.084541
2777.783203	-29.323538
2799.316406	-19.685778
2820.849609	-16.105137
2842.382813	-17.202736
2863.916016	-20.850021
2885.449219	-21.669832
2906.982422	-20.701555
2928.515625	-25.522240
2950.048828	-30.106247
2971.582031	-31.924576
2993.115234	-32.836700
3014.648438	-32.621471
3036.181641	-32.012573
3057.714844	-31.793940
3079.248047	-32.744854
3100.781250	-32.927639
3122.314453	-31.361616
3143.847656	-27.220745
3165.380859	-22.959251
3186.914063	-22.704374
3208.447266	-25.183868
3229.980469	-27.102060
3251.513672	-26.490744
3273.046875	-27.447634
3294.580078	-32.606258
3316.113281	-34.578117
3337.646484	-36.201977
3359.179688	-36.689610
3380.712891	-35.443180
3402.246094	-35.596561
3423.779297	-36.352242
3445.312500	-35.386761
3466.845703	-34.189297
3488.378906	-30.550955
3509.912109	-27.204338
3531.445313	-27.471210
3552.978516	-28.545324
3574.511719	-29.993719
3596.044922	-31.669830
3617.578125	-31.312645
3639.111328	-32.356998
3660.644531	-35.791168
3682.177734	-37.531830
3703.710938	-37.229202
3725.244141	-36.952183
3746.777344	-37.337112
3768.310547	-38.023331
3789.843750	-37.083366
3811.376953	-35.173111
3832.910156	-32.046844
3854.443359	-29.638569
3875.976563	-25.601997
3897.509766	-25.415232
3919.042969	-28.800228
3940.576172	-30.991611
3962.109375	-31.723837
3983.642578	-31.233629
4005.175781	-33.091213
4026.708984	-34.180229
4048.242188	-34.165421
4069.775391	-35.108150
4091.308594	-35.497940
4112.841797	-34.799755
4134.375000	-34.329884
4155.908203	-34.732944
4177.441406	-33.690151
4198.974609	-31.849627
4220.507813	-31.458811
4242.041016	-30.670008
4263.574219	-30.956184
4285.107422	-31.657719
4306.640625	-32.448048
4328.173828	-33.219555
4349.707031	-32.492016
4371.240234	-33.316765
4392.773438	-34.627785
4414.306641	-33.604889
4435.839844	-33.328457
4457.373047	-34.258656
4478.906250	-34.304523
4500.439453	-34.040230
4521.972656	-33.376019
4543.505859	-31.439770
4565.039063	-30.465597
4586.572266	-29.193308
4608.105469	-29.481712
4629.638672	-30.007343
4651.171875	-31.731684
4672.705078	-32.609264
4694.238281	-33.375328
4715.771484	-34.442307
4737.304688	-34.988377
4758.837891	-34.357685
4780.371094	-34.827698
4801.904297	-34.672691
4823.437500	-34.389194
4844.970703	-33.606945
4866.503906	-33.341755
4888.037109	-32.037430
4909.570313	-29.738665
4931.103516	-29.251228
4952.636719	-29.008089
4974.169922	-29.957664
4995.703125	-30.275925
5017.236328	-30.670500
5038.769531	-31.231735
5060.302734	-32.190052
5081.835938	-32.552418
5103.369141	-32.882088
5124.902344	-32.912430
5146.435547	-32.728649
5167.968750	-32.575500
5189.501953	-32.433411
5211.035156	-32.293030
5232.568359	-32.159107
5254.101563	-30.988306
5275.634766	-29.072535
5297.167969	-27.842100
5318.701172	-27.858057
5340.234375	-27.584131
5361.767578	-27.356768
5383.300781	-27.738447
5404.833984	-27.832067
5426.367188	-27.491259
5447.900391	-27.978966
5469.433594	-27.949877
5490.966797	-27.966337
5512.500000	-28.254465
5534.033203	-28.612560
5555.566406	-28.608429
5577.099609	-28.099157
5598.632813	-27.241064
5620.166016	-27.034456
5641.699219	-26.203728
5663.232422	-26.061310
5684.765625	-26.196375
5706.298828	-25.862278
5727.832031	-26.589174
5749.365234	-27.182446
5770.898438	-27.822403
5792.431641	-28.302595
5813.964844	-28.204792
5835.498047	-29.267702
5857.031250	-30.178249
5878.564453	-30.772833
5900.097656	-31.336645
5921.630859	-30.846464
5943.164063	-30.251707
5964.697266	-29.238535
5986.230469	-28.221933
6007.763672	-27.936398
6029.296875	-28.480602
6050.830078	-28.694485
6072.363281	-29.230904
6093.896484	-30.190727
6115.429688	-31.103794
6136.962891	-30.908001
6158.496094	-30.401861
6180.029297	-30.680065
6201.562500	-31.442278
6223.095703	-32.042423
6244.628906	-31.276512
6266.162109	-30.224958
6287.695313	-29.248535
6309.228516	-28.873949
6330.761719	-28.693151
6352.294922	-29.085796
6373.828125	-28.772306
6395.361328	-28.927977
6416.894531	-29.055071
6438.427734	-29.710684
6459.960938	-29.796989
6481.494141	-29.325575
6503.027344	-28.663702
6524.560547	-28.191286
6546.093750	-28.742956
6567.626953	-29.742802
6589.160156	-29.934278
6610.693359	-29.957764
6632.226563	-29.485985
6653.759766	-29.788771
6675.292969	-29.580248
6696.826172	-28.843348
6718.359375	-28.940191
6739.892578	-29.622204
6761.425781	-29.910128
6782.958984	-29.655575
6804.492188	-30.610193
6826.025391	-31.547569
6847.558594	-31.175926
6869.091797	-30.750980
6890.625000	-30.455954
6912.158203	-30.844454
6933.691406	-30.591152
6955.224609	-30.567921
6976.757813	-30.662760
6998.291016	-30.189682
7019.824219	-29.712721
7041.357422	-29.495867
7062.890625	-29.617086
7084.423828	-29.087385
7105.957031	-28.836740
7127.490234	-28.824814
7149.023438	-29.243950
7170.556641	-30.154665
7192.089844	-30.380043
7213.623047	-30.213755
7235.156250	-30.112278
7256.689453	-30.129555
7278.222656	-30.663628
7299.755859	-31.648317
7321.289063	-31.638641
7342.822266	-31.252619
7364.355469	-31.622206
7385.888672	-31.468760
7407.421875	-31.276854
