Frequency (Hz)	Level (dB)
21.533203	-22.176054
43.066406	-24.860306
64.599609	-27.912916
86.132813	-29.978333
107.666016	-31.402767
129.199219	-33.260853
150.732422	-34.739635
172.265625	-36.030067
193.798828	-36.333942
215.332031	-35.514431
236.865234	-35.561695
258.398438	-37.212006
279.931641	-37.447735
301.464844	-37.109776
322.998047	-35.587780
344.531250	-23.550699
366.064453	-13.157460
387.597656	-14.403571
409.130859	-28.203981
430.664063	-35.496338
452.197266	-38.266865
473.730469	-39.989315
495.263672	-40.908154
516.796875	-41.672821
538.330078	-41.665855
559.863281	-41.838531
581.396484	-40.812157
602.929688	-40.520741
624.462891	-41.974838
645.996094	-41.201527
667.529297	-39.922962
689.062500	-37.573658
710.595703	-25.449257
732.128906	-12.079331
753.662109	-9.166006
775.195313	-16.002741
796.728516	-34.215748
818.261719	-39.160065
839.794922	-39.905617
861.328125	-40.837624
882.861328	-41.284302
904.394531	-41.302128
925.927734	-41.009773
947.460938	-40.391499
968.994141	-39.432320
990.527344	-39.910904
1012.060547	-39.608162
1033.593750	-39.562069
1055.126953	-38.040997
1076.660156	-27.694075
1098.193359	-13.705322
1119.726563	-9.351672
1141.259766	-11.667837
1162.792969	-23.579586
1184.326172	-36.276756
1205.859375	-38.524162
1227.392578	-40.050770
1248.925781	-40.187668
1270.458984	-39.726482
1291.992188	-39.807224
1313.525391	-39.142063
1335.058594	-38.483509
1356.591797	-38.857597
1378.125000	-38.987083
1399.658203	-39.171932
1421.191406	-39.275860
1442.724609	-31.972137
1464.257813	-18.484451
1485.791016	-12.842382
1507.324219	-11.134058
1528.857422	-16.530172
1550.390625	-30.178473
1571.923828	-37.027519
1593.457031	-39.220398
1614.990234	-39.770477
1636.523438	-38.944344
1658.056641	-38.519115
1679.589844	-38.817089
1701.123047	-38.553486
1722.656250	-38.838097
1744.189453	-39.062859
1765.722656	-38.418625
1787.255859	-36.891594
1808.789063	-31.174532
1830.322266	-18.853979
1851.855469	-13.184897
1873.388672	-8.564821
1894.921875	-9.682414
1916.455078	-20.963898
1937.988281	-31.100176
1959.521484	-33.810482
1981.054688	-35.943256
2002.587891	-36.752701
2024.121094	-36.789505
2045.654297	-36.365726
2067.187500	-37.251293
2088.720703	-37.871105
2110.253906	-37.423389
2131.787109	-36.873074
2153.320313	-35.677555
2174.853516	-33.020554
2196.386719	-22.763926
2217.919922	-16.521193
2239.453125	-16.075871
2260.986328	-14.676383
2282.519531	-19.170898
2304.052734	-29.701614
2325.585938	-33.544407
2347.119141	-35.035698
2368.652344	-37.325302
2390.185547	-37.215176
2411.718750	-37.324348
2433.251953	-37.157780
2454.785156	-37.358063
2476.318359	-37.727280
2497.851563	-37.705280
2519.384766	-36.455956
2540.917969	-34.531483
2562.451172	-28.628647
2583.984375	-21.256258
2605.517578	-21.592762
2627.050781	-21.318277
2648.583984	-20.738699
2670.117188	-27.610981
2691.650391	-34.611916
2713.183594	-35.856438
2734.716797	-38.402721
2756.250000	-38.277077
2777.783203	-38.050144
2799.316406	-37.682346
2820.849609	-37.361103
2842.382813	-37.717747
2863.916016	-37.360359
2885.449219	-35.748482
2906.982422	-34.467697
2928.515625	-30.507383
2950.048828	-24.290964
2971.582031	-22.805733
2993.115234	-22.775438
3014.648438	-21.982246
3036.181641	-25.542473
3057.714844	-32.423363
3079.248047	-35.624428
3100.781250	-37.032478
3122.314453	-37.888641
3143.847656	-37.732784
3165.380859	-37.880039
3186.914063	-37.874172
3208.447266	-37.781311
3229.980469	-37.120022
3251.513672	-36.243813
3273.046875	-36.220432
3294.580078	-33.070068
3316.113281	-29.379131
3337.646484	-26.879019
3359.179688	-25.462574
3380.712891	-22.697327
3402.246094	-24.024542
3423.779297	-29.040482
3445.312500	-33.227482
3466.845703	-33.862804
3488.378906	-34.831287
3509.912109	-35.169956
3531.445313	-35.904850
3552.978516	-35.652103
3574.511719	-35.280781
3596.044922	-35.395489
3617.578125	-34.348881
3639.111328	-33.099796
3660.644531	-28.816916
3682.177734	-21.907911
3703.710938	-19.008682
3725.244141	-19.984457
3746.777344	-20.708395
3768.310547	-19.109869
3789.843750	-22.669426
3811.376953	-29.927069
3832.910156	-30.945467
3854.443359	-32.465420
3875.976563	-33.453102
3897.509766	-33.972618
3919.042969	-34.226955
3940.576172	-33.788052
3962.109375	-33.440075
3983.642578	-32.217251
4005.175781	-30.549212
4026.708984	-28.630430
4048.242188	-22.426149
4069.775391	-19.317047
4091.308594	-21.233099
4112.841797	-22.063440
4134.375000	-18.814302
4155.908203	-19.534979
4177.441406	-25.512323
4198.974609	-28.984118
4220.507813	-30.335123
4242.041016	-31.276436
4263.574219	-31.656868
4285.107422	-31.877295
4306.640625	-31.774309
4328.173828	-31.435446
4349.707031	-31.319981
4371.240234	-30.291822
4392.773438	-27.928604
4414.306641	-21.005299
4435.839844	-18.149311
4457.373047	-19.861725
4478.906250	-21.877445
4500.439453	-19.658325
4521.972656	-19.264112
4543.505859	-24.399054
4565.039063	-28.335850
4586.572266	-29.250677
4608.105469	-30.664984
4629.638672	-31.530685
4651.171875	-31.896309
4672.705078	-31.468288
4694.238281	-31.037800
4715.771484	-31.233955
4737.304688	-31.630516
4758.837891	-30.146940
4780.371094	-22.980116
4801.904297	-19.397591
4823.437500	-20.962740
4844.970703	-21.199333
4866.503906	-18.203918
4888.037109	-15.362244
4909.570313	-17.334000
4931.103516	-24.245281
4952.636719	-26.136629
4974.169922	-27.460201
4995.703125	-29.347504
5017.236328	-29.969666
5038.769531	-30.094658
5060.302734	-29.286732
5081.835938	-29.137669
5103.369141	-28.764091
5124.902344	-28.236897
5146.435547	-24.569738
5167.968750	-21.248396
5189.501953	-21.378588
5211.035156	-23.142647
5232.568359	-22.968803
5254.101563	-19.603834
5275.634766	-18.135071
5297.167969	-22.326307
5318.701172	-25.175600
5340.234375	-25.150324
5361.767578	-26.198845
5383.300781	-27.307764
5404.833984	-27.947145
5426.367188	-27.508116
5447.900391	-26.582342
5469.433594	-26.238037
5490.966797	-25.320627
5512.500000	-21.933027
5534.033203	-18.413006
5555.566406	-18.507587
5577.099609	-20.024893
5598.632813	-19.315308
5620.166016	-17.596857
5641.699219	-16.055008
