Frequency (Hz)	Level (dB)
21.533203	-24.081141
43.066406	-33.854858
64.599609	-35.744904
86.132813	-37.554523
107.666016	-39.004105
129.199219	-39.773113
150.732422	-40.074234
172.265625	-40.536083
193.798828	-39.532803
215.332031	-38.391216
236.865234	-37.759151
258.398438	-38.849705
279.931641	-38.811718
301.464844	-38.020294
322.998047	-37.060421
344.531250	-22.912834
366.064453	-14.347521
387.597656	-17.417433
409.130859	-31.345224
430.664063	-32.696667
452.197266	-35.727757
473.730469	-40.408192
495.263672	-41.628403
516.796875	-41.269135
538.330078	-41.249962
559.863281	-41.931782
581.396484	-41.600067
602.929688	-41.306557
624.462891	-40.836315
645.996094	-39.685310
667.529297	-39.461220
689.062500	-37.779858
710.595703	-25.336479
732.128906	-14.240417
753.662109	-14.578671
775.195313	-26.843582
796.728516	-38.442543
818.261719	-39.909008
839.794922	-40.831123
861.328125	-41.227196
882.861328	-41.344639
904.394531	-41.407051
925.927734	-41.203102
947.460938	-40.810352
968.994141	-39.887722
990.527344	-39.211021
1012.060547	-38.652927
1033.593750	-38.902412
1055.126953	-37.284351
1076.660156	-24.640816
1098.193359	-12.208994
1119.726563	-10.365785
1141.259766	-19.172604
1162.792969	-36.648663
1184.326172	-39.539261
1205.859375	-40.141636
1227.392578	-39.644093
1248.925781	-39.553143
1270.458984	-40.465202
1291.992188	-40.030369
1313.525391	-40.092400
1335.058594	-39.610691
1356.591797	-38.614857
1378.125000	-39.051891
1399.658203	-39.629520
1421.191406	-38.465500
1442.724609	-24.619267
1464.257813	-13.747854
1485.791016	-11.711067
1507.324219	-17.221310
1528.857422	-31.567129
1550.390625	-38.117878
1571.923828	-39.641655
1593.457031	-39.872261
1614.990234	-39.935806
1636.523438	-39.963768
1658.056641	-40.017124
1679.589844	-39.930080
1701.123047	-39.721375
1722.656250	-39.249146
1744.189453	-39.116383
1765.722656	-38.446861
1787.255859	-35.368420
1808.789063	-23.823936
1830.322266	-12.870556
1851.855469	-10.071517
1873.388672	-13.189850
1894.921875	-21.823790
1916.455078	-33.560505
1937.988281	-36.146767
1959.521484	-37.142746
1981.054688	-37.311306
2002.587891	-37.699921
2024.121094	-38.456863
2045.654297	-37.540257
2067.187500	-38.298302
2088.720703	-38.140640
2110.253906	-37.292461
2131.787109	-36.127827
2153.320313	-34.471691
2174.853516	-25.823009
2196.386719	-15.141778
2217.919922	-10.606095
2239.453125	-11.462942
2260.986328	-19.915882
2282.519531	-30.868530
2304.052734	-36.518879
2325.585938	-37.432953
2347.119141	-37.753468
2368.652344	-38.033680
2390.185547	-38.073357
2411.718750	-38.222916
2433.251953	-38.276588
2454.785156	-37.791866
2476.318359	-38.040897
2497.851563	-36.362881
2519.384766	-35.126514
2540.917969	-29.626966
2562.451172	-18.839651
2583.984375	-12.507751
2605.517578	-12.972608
2627.050781	-19.488598
2648.583984	-28.870098
2670.117188	-35.274471
2691.650391	-36.704762
2713.183594	-37.844296
2734.716797	-38.624683
2756.250000	-39.819160
2777.783203	-40.447727
2799.316406	-40.270702
2820.849609	-39.601105
2842.382813	-39.231586
2863.916016	-38.358360
2885.449219	-36.392666
2906.982422	-30.953888
2928.515625	-21.020472
2950.048828	-17.281824
2971.582031	-16.008690
2993.115234	-19.812799
3014.648438	-27.372286
3036.181641	-33.576202
3057.714844	-35.723457
3079.248047	-36.154488
3100.781250	-36.462086
3122.314453	-38.099060
3143.847656	-38.938671
3165.380859	-38.478008
3186.914063	-38.022896
3208.447266	-38.344025
3229.980469	-38.333591
3251.513672	-37.570774
3273.046875	-34.109245
3294.580078	-27.030392
3316.113281	-22.917793
3337.646484	-19.319071
3359.179688	-21.804260
3380.712891	-29.199135
3402.246094	-33.589851
3423.779297	-34.944515
3445.312500	-36.403934
3466.845703	-37.192390
3488.378906	-37.055222
3509.912109	-36.852196
3531.445313	-37.428677
3552.978516	-37.457024
3574.511719	-37.214603
3596.044922	-37.478958
3617.578125	-35.919315
3639.111328	-30.858814
3660.644531	-24.349892
3682.177734	-21.511724
3703.710938	-18.998314
3725.244141	-18.578079
3746.777344	-23.209665
3768.310547	-28.209167
3789.843750	-30.922520
3811.376953	-33.647812
3832.910156	-35.255466
3854.443359	-35.463112
3875.976563	-35.003025
3897.509766	-34.799877
3919.042969	-35.526852
3940.576172	-35.920448
3962.109375	-35.435768
3983.642578	-33.920715
4005.175781	-28.755480
4026.708984	-22.458124
4048.242188	-21.290819
4069.775391	-18.608086
4091.308594	-18.082067
4112.841797	-21.509132
4134.375000	-27.814659
4155.908203	-31.784416
4177.441406	-32.508011
4198.974609	-33.568962
4220.507813	-34.111347
4242.041016	-34.869442
4263.574219	-34.275276
4285.107422	-33.235954
4306.640625	-33.085423
4328.173828	-33.181717
4349.707031	-32.571991
4371.240234	-28.578987
4392.773438	-21.333744
4414.306641	-18.728897
4435.839844	-16.763931
4457.373047	-16.458286
4478.906250	-19.658594
4500.439453	-24.648937
4521.972656	-28.951054
4543.505859	-31.983461
4565.039063	-32.915062
4586.572266	-33.180508
4608.105469	-32.839592
4629.638672	-32.585468
4651.171875	-32.841049
4672.705078	-32.331192
4694.238281	-32.129906
4715.771484	-31.819561
4737.304688	-30.828558
4758.837891	-25.592983
4780.371094	-22.549057
4801.904297	-21.867851
4823.437500	-22.197470
4844.970703	-23.590452
4866.503906	-26.491383
4888.037109	-27.428349
4909.570313	-28.600924
4931.103516	-30.630600
4952.636719	-31.629076
4974.169922	-31.013580
4995.703125	-30.574104
5017.236328	-31.035091
5038.769531	-31.397892
5060.302734	-30.644630
5081.835938	-29.916784
5103.369141	-27.714706
5124.902344	-21.654476
5146.435547	-19.938229
5167.968750	-17.915005
5189.501953	-16.112980
5211.035156	-17.899103
5232.568359	-22.473724
5254.101563	-27.407108
5275.634766	-29.820559
5297.167969	-30.836782
5318.701172	-31.123236
5340.234375	-30.445709
5361.767578	-30.050158
5383.300781	-30.330135
5404.833984	-29.763542
5426.367188	-29.902857
5447.900391	-29.143845
5469.433594	-27.808922
5490.966797	-22.544556
5512.500000	-19.711769
5534.033203	-18.961075
5555.566406	-17.863800
5577.099609	-19.031366
5598.632813	-20.161386
5620.166016	-23.582470
5641.699219	-26.432240
5663.232422	-27.318100
5684.765625	-27.903368
5706.298828	-27.621090
5727.832031	-27.867939
5749.365234	-27.843763
5770.898438	-27.418045
5792.431641	-27.523344
5813.964844	-28.133854
5835.498047	-27.600481
5857.031250	-23.077791
5878.564453	-20.767277
5900.097656	-20.855587
5921.630859	-19.431244
5943.164063	-18.950773
5964.697266	-18.891579
5986.230469	-22.922699
6007.763672	-25.938482
6029.296875	-26.988461
6050.830078	-27.958868
6072.363281	-28.673464
6093.896484	-28.648792
6115.429688	-28.889902
6136.962891	-28.958292
6158.496094	-28.996664
6180.029297	-28.704004
6201.562500	-27.801430
6223.095703	-24.659229
6244.628906	-22.740408
6266.162109	-22.413557
6287.695313	-20.477945
6309.228516	-21.249779
6330.761719	-22.544155
6352.294922	-24.421413
6373.828125	-26.352625
6395.361328	-28.736603
6416.894531	-29.771339
6438.427734	-29.940958
6459.960938	-29.710646
6481.494141	-29.808561
6503.027344	-29.946878
6524.560547	-29.792366
6546.093750	-29.548765
6567.626953	-28.798100
6589.160156	-27.534554
6610.693359	-27.468393
6632.226563	-26.177008
6653.759766	-23.875418
6675.292969	-23.413527
6696.826172	-24.048723
6718.359375	-25.419058
6739.892578	-26.510202
6761.425781	-27.614845
6782.958984	-28.435030
6804.492188	-28.552313
6826.025391	-28.533340
6847.558594	-28.393456
6869.091797	-28.519672
6890.625000	-28.472452
6912.158203	-28.798019
6933.691406	-28.745586
6955.224609	-28.167658
6976.757813	-27.500702
6998.291016	-26.584410
7019.824219	-26.206362
7041.357422	-25.548506
7062.890625	-25.041067
7084.423828	-26.167955
7105.957031	-27.261465
7127.490234	-27.877731
7149.023438	-28.379967
7170.556641	-29.015896
7192.089844	-28.684505
7213.623047	-28.968092
