Frequency (Hz)	Level (dB)
21.533203	-23.784384
43.066406	-29.868994
64.599609	-31.913530
86.132813	-32.796955
107.666016	-34.798058
129.199219	-36.522316
150.732422	-37.392006
172.265625	-37.091660
193.798828	-36.570961
215.332031	-36.517906
236.865234	-37.202011
258.398438	-38.627937
279.931641	-36.616306
301.464844	-36.739120
322.998047	-35.658123
344.531250	-22.100712
366.064453	-13.382225
387.597656	-16.057837
409.130859	-30.602350
430.664063	-33.259605
452.197266	-35.679577
473.730469	-39.832916
495.263672	-41.778374
516.796875	-41.448750
538.330078	-40.584583
559.863281	-40.826466
581.396484	-40.999832
602.929688	-41.063118
624.462891	-41.214493
645.996094	-38.377907
667.529297	-37.657627
689.062500	-36.369293
710.595703	-23.474909
732.128906	-12.676003
753.662109	-12.383617
775.195313	-22.811298
796.728516	-37.531590
818.261719	-38.528076
839.794922	-39.110355
861.328125	-40.303619
882.861328	-40.618759
904.394531	-40.939453
925.927734	-41.097900
947.460938	-41.064079
968.994141	-40.982563
990.527344	-40.308445
1012.060547	-38.269657
1033.593750	-38.057774
1055.126953	-36.581253
1076.660156	-23.539053
1098.193359	-12.201193
1119.726563	-10.342858
1141.259766	-17.353428
1162.792969	-34.419025
1184.326172	-38.967545
1205.859375	-38.795677
1227.392578	-38.737232
1248.925781	-39.151131
1270.458984	-39.724976
1291.992188	-39.720886
1313.525391	-39.805172
1335.058594	-39.090847
1356.591797	-38.311031
1378.125000	-37.806118
1399.658203	-37.562912
1421.191406	-36.320210
1442.724609	-23.444391
1464.257813	-12.796383
1485.791016	-11.365768
1507.324219	-15.542520
1528.857422	-27.378340
1550.390625	-37.888603
1571.923828	-38.852501
1593.457031	-38.693516
1614.990234	-38.929295
1636.523438	-38.286781
1658.056641	-37.639927
1679.589844	-38.432461
1701.123047	-38.745892
1722.656250	-38.633083
1744.189453	-37.541225
1765.722656	-36.931305
1787.255859	-35.565735
1808.789063	-23.448303
1830.322266	-12.576498
1851.855469	-9.989888
1873.388672	-9.928345
1894.921875	-15.955684
1916.455078	-31.471083
1937.988281	-36.014786
1959.521484	-35.389355
1981.054688	-34.961811
2002.587891	-34.922619
2024.121094	-34.575367
2045.654297	-34.450043
2067.187500	-35.858124
2088.720703	-36.931107
2110.253906	-36.161133
2131.787109	-35.632626
2153.320313	-35.026642
2174.853516	-26.317051
2196.386719	-15.350667
2217.919922	-12.505076
2239.453125	-13.731463
2260.986328	-18.938683
2282.519531	-28.396536
2304.052734	-36.593388
2325.585938	-36.148586
2347.119141	-35.110523
2368.652344	-35.181808
2390.185547	-34.878002
2411.718750	-35.818325
2433.251953	-36.213593
2454.785156	-36.673717
2476.318359	-37.289967
2497.851563	-36.423843
2519.384766	-35.414703
2540.917969	-30.390657
2562.451172	-20.376057
2583.984375	-15.690809
2605.517578	-15.488485
2627.050781	-17.456829
2648.583984	-25.041721
2670.117188	-34.213219
2691.650391	-37.319599
2713.183594	-36.197926
2734.716797	-36.597679
2756.250000	-38.631855
2777.783203	-38.544231
2799.316406	-38.541958
2820.849609	-38.122974
2842.382813	-37.285633
2863.916016	-36.325394
2885.449219	-35.337151
2906.982422	-31.961348
2928.515625	-22.480902
2950.048828	-20.168148
2971.582031	-20.358492
2993.115234	-20.454714
3014.648438	-23.932922
3036.181641	-32.125710
3057.714844	-35.590919
3079.248047	-36.247456
3100.781250	-36.002689
3122.314453	-36.982677
3143.847656	-38.139709
3165.380859	-37.606274
3186.914063	-38.205772
3208.447266	-37.920551
3229.980469	-37.131428
3251.513672	-36.091652
3273.046875	-33.608620
3294.580078	-27.748871
3316.113281	-25.881109
3337.646484	-24.654650
3359.179688	-25.148991
3380.712891	-26.924395
3402.246094	-31.740322
3423.779297	-34.052578
3445.312500	-35.430897
3466.845703	-35.392033
3488.378906	-34.138191
3509.912109	-34.176250
3531.445313	-35.037918
3552.978516	-35.172760
3574.511719	-34.954205
3596.044922	-34.879272
3617.578125	-33.537979
3639.111328	-30.458942
3660.644531	-24.018024
3682.177734	-20.890421
3703.710938	-20.031193
3725.244141	-19.741882
3746.777344	-21.709652
3768.310547	-25.671589
3789.843750	-30.378117
3811.376953	-32.692692
3832.910156	-33.079773
3854.443359	-33.227360
3875.976563	-32.765507
3897.509766	-32.972385
3919.042969	-34.198765
3940.576172	-33.684261
3962.109375	-33.533806
3983.642578	-33.023041
4005.175781	-28.070032
4026.708984	-21.836668
4048.242188	-19.911232
4069.775391	-19.112474
4091.308594	-18.612822
4112.841797	-19.757652
4134.375000	-23.825392
4155.908203	-28.823658
4177.441406	-30.438585
4198.974609	-31.960886
4220.507813	-32.176640
4242.041016	-32.302475
4263.574219	-31.837667
4285.107422	-31.106602
4306.640625	-31.429407
4328.173828	-31.920944
4349.707031	-30.921255
4371.240234	-28.206169
4392.773438	-20.362104
4414.306641	-18.136965
4435.839844	-18.249207
4457.373047	-18.079802
4478.906250	-18.593811
4500.439453	-20.133757
4521.972656	-25.558411
4543.505859	-29.664680
4565.039063	-29.699673
4586.572266	-30.656313
4608.105469	-30.910168
4629.638672	-31.336197
4651.171875	-31.473282
4672.705078	-31.622818
4694.238281	-31.749981
4715.771484	-31.459364
4737.304688	-29.951754
4758.837891	-23.251413
4780.371094	-20.475885
4801.904297	-20.072958
4823.437500	-20.063185
4844.970703	-18.630569
4866.503906	-18.213491
4888.037109	-21.356220
4909.570313	-25.723555
4931.103516	-27.020594
4952.636719	-28.593550
4974.169922	-28.824095
4995.703125	-28.737991
5017.236328	-29.045105
5038.769531	-29.435078
5060.302734	-29.603851
5081.835938	-28.815165
5103.369141	-26.322723
5124.902344	-21.506540
5146.435547	-19.841875
5167.968750	-19.259239
5189.501953	-18.954481
5211.035156	-19.799950
5232.568359	-21.093319
5254.101563	-24.596737
5275.634766	-27.488214
5297.167969	-28.242228
5318.701172	-28.461834
5340.234375	-28.051743
5361.767578	-27.633963
5383.300781	-27.612930
5404.833984	-27.707552
5426.367188	-28.160038
5447.900391	-26.830236
5469.433594	-25.146915
5490.966797	-20.066786
5512.500000	-17.563507
5534.033203	-18.057037
5555.566406	-18.240480
5577.099609	-18.618776
5598.632813	-16.926451
5620.166016	-17.635433
5641.699219	-22.201860
5663.232422	-25.472090
5684.765625	-26.222647
5706.298828	-26.679148
5727.832031	-27.167713
5749.365234	-27.535473
5770.898438	-27.305788
5792.431641	-27.462166
5813.964844	-28.094303
5835.498047	-27.507427
5857.031250	-22.944605
5878.564453	-19.907663
5900.097656	-20.362251
5921.630859	-21.300011
5943.164063	-20.764635
5964.697266	-19.154409
5986.230469	-20.925201
6007.763672	-23.858349
6029.296875	-26.423124
6050.830078	-27.750322
6072.363281	-28.392605
6093.896484	-28.385439
6115.429688	-28.640596
6136.962891	-28.451698
6158.496094	-28.615433
6180.029297	-28.915991
6201.562500	-28.272354
6223.095703	-25.143204
6244.628906	-22.304199
6266.162109	-22.167866
6287.695313	-22.511797
6309.228516	-23.333984
6330.761719	-23.990128
6352.294922	-23.631355
6373.828125	-24.145443
6395.361328	-26.896248
6416.894531	-28.896997
6438.427734	-30.180517
6459.960938	-29.766504
6481.494141	-29.062296
6503.027344	-29.141022
6524.560547	-29.474897
6546.093750	-29.294724
6567.626953	-28.811848
6589.160156	-27.177876
6610.693359	-26.489517
6632.226563	-24.829575
6653.759766	-24.010284
6675.292969	-23.900322
6696.826172	-24.719357
6718.359375	-25.747501
6739.892578	-25.223635
6761.425781	-25.941383
6782.958984	-27.491100
6804.492188	-28.293026
6826.025391	-28.703588
6847.558594	-28.044224
6869.091797	-27.760448
6890.625000	-28.220814
6912.158203	-28.621027
6933.691406	-28.316618
6955.224609	-26.856461
6976.757813	-25.282814
6998.291016	-24.540995
7019.824219	-25.166941
7041.357422	-24.902016
7062.890625	-24.309774
7084.423828	-22.599703
7105.957031	-22.249319
7127.490234	-24.250263
7149.023438	-26.534048
7170.556641	-27.871849
7192.089844	-28.195255
7213.623047	-28.674389
7235.156250	-27.927450
7256.689453	-27.575914
7278.222656	-27.944019
7299.755859	-27.103556
7321.289063	-24.199293
7342.822266	-22.718336
7364.355469	-23.618502
7385.888672	-24.163115
7407.421875	-23.772621
7428.955078	-24.372362
7450.488281	-24.397989
7472.021484	-24.285603
7493.554688	-25.095488
7515.087891	-27.236837
7536.621094	-28.815001
7558.154297	-29.432245
7579.687500	-29.386013
7601.220703	-29.479828
7622.753906	-29.649345
7644.287109	-29.094730
7665.820313	-28.885935
7687.353516	-27.077120
7708.886719	-24.334213
7730.419922	-24.007685
7751.953125	-24.154135
7773.486328	-25.471140
7795.019531	-24.900167
7816.552734	-25.105545
7838.085938	-25.087122
7859.619141	-25.543571
7881.152344	-27.166084
7902.685547	-28.896862
7924.218750	-29.910135
7945.751953	-30.816132
7967.285156	-30.913845
7988.818359	-31.092220
8010.351563	-31.194096
8031.884766	-30.220802
8053.417969	-28.279554
8074.951172	-27.661381
8096.484375	-28.547918
8118.017578	-29.093233
8139.550781	-29.146673
8161.083984	-29.346657
8182.617188	-29.605171
8204.150391	-29.788778
8225.683594	-30.193693
8247.216797	-29.329531
8268.750000	-29.925163
8290.283203	-30.448261
8311.816406	-30.067009
8333.349609	-30.485323
8354.882813	-30.715107
8376.416016	-30.314323
8397.949219	-29.208849
8419.482422	-28.412750
8441.015625	-28.063416
8462.548828	-27.837914
8484.082031	-27.937101
8505.615234	-27.620995
8527.148438	-27.458790
8548.681641	-27.605125
8570.214844	-27.258404
8591.748047	-26.965076
8613.281250	-27.663195
8634.814453	-28.255554
8656.347656	-28.423273
8677.880859	-28.296986
8699.414063	-28.129583
8720.947266	-28.172186
8742.480469	-28.037344
8764.013672	-27.718861
8785.546875	-26.909431
8807.080078	-25.717186
8828.613281	-25.923002
8850.146484	-25.926598
8871.679688	-25.679405
8893.212891	-25.511326
8914.746094	-25.273439
8936.279297	-25.186075
8957.812500	-25.042894
8979.345703	-25.755852
9000.878906	-26.369259
9022.412109	-26.815184
9043.945313	-27.350275
9065.478516	-27.666447
9087.011719	-27.773121
9108.544922	-27.849901
9130.078125	-27.985411
9151.611328	-27.432903
9173.144531	-26.171957
9194.677734	-26.183802
9216.210938	-26.593212
9237.744141	-26.428892
9259.277344	-25.932358
9280.810547	-26.963161
9302.343750	-26.601171
9323.876953	-25.820364
9345.410156	-25.718998
9366.943359	-26.509090
9388.476563	-27.272629
9410.009766	-28.177197
9431.542969	-28.588610
9453.076172	-28.784239
9474.609375	-28.914442
9496.142578	-28.789167
9517.675781	-27.995003
9539.208984	-26.806202
9560.742188	-27.354074
9582.275391	-28.041191
9603.808594	-28.257631
9625.341797	-28.522329
9646.875000	-28.852243
9668.408203	-28.815628
9689.941406	-28.858896
9711.474609	-28.863514
9733.007813	-29.241428
9754.541016	-29.789835
9776.074219	-30.096218
9797.607422	-30.982138
9819.140625	-30.629303
9840.673828	-30.572376
9862.207031	-29.857828
9883.740234	-29.242886
9905.273438	-29.209171
9926.806641	-28.801743
9948.339844	-28.683481
9969.873047	-28.999609
9991.406250	-29.219700
10012.939453	-29.016560
10034.472656	-28.687840
10056.005859	-28.480057
10077.539063	-28.452374
10099.072266	-28.995760
10120.605469	-28.999228
10142.138672	-28.881210
10163.671875	-28.830193
10185.205078	-28.935930
10206.738281	-29.259512
10228.271484	-29.578186
10249.804688	-29.178453
10271.337891	-28.637585
10292.871094	-29.377117
10314.404297	-29.916288
10335.937500	-30.005131
10357.470703	-29.989864
10379.003906	-30.451324
10400.537109	-30.517025
10422.070313	-30.676937
10443.603516	-30.472639
10465.136719	-30.128231
10486.669922	-30.176609
10508.203125	-30.573633
10529.736328	-30.471716
10551.269531	-30.253853
10572.802734	-30.157362
10594.335938	-29.794426
10615.869141	-29.653851
10637.402344	-29.078285
10658.935547	-29.095633
10680.468750	-29.171894
10702.001953	-28.979080
10723.535156	-29.036200
10745.068359	-29.315540
10766.601563	-29.777285
10788.134766	-30.266582
10809.667969	-30.242630
10831.201172	-29.789757
10852.734375	-29.666630
10874.267578	-30.013592
10895.800781	-30.419399
10917.333984	-30.059185
10938.867188	-29.909119
10960.400391	-29.602074
10981.933594	-29.060293
11003.466797	-29.406870
11025.000000	-29.174105
11046.533203	-28.755711
11068.066406	-29.037506
11089.599609	-29.305752
11111.132813	-29.667250
11132.666016	-29.115719
11154.199219	-28.768162
11175.732422	-28.994526
11197.265625	-28.980383
11218.798828	-29.071539
11240.332031	-29.037230
11261.865234	-28.997950
11283.398438	-29.357256
11304.931641	-28.847561
11326.464844	-28.945110
11347.998047	-29.464483
11369.531250	-29.330633
11391.064453	-29.885050
11412.597656	-30.358278
11434.130859	-30.223343
11455.664063	-29.457417
11477.197266	-29.894434
11498.730469	-30.459644
11520.263672	-30.188871
11541.796875	-29.837496
11563.330078	-29.127142
11584.863281	-29.132784
11606.396484	-29.041655
11627.929688	-28.698355
11649.462891	-28.659582
11670.996094	-28.375656
11692.529297	-28.279209
11714.062500	-27.963533
11735.595703	-28.008373
11757.128906	-27.384312
11778.662109	-26.777777
11800.195313	-27.059778
11821.728516	-27.751137
11843.261719	-26.964291
11864.794922	-27.284742
11886.328125	-27.619005
11907.861328	-27.015276
11929.394531	-26.578783
11950.927734	-26.758053
11972.460938	-26.186001
11993.994141	-26.485590
12015.527344	-26.022173
12037.060547	-25.601130
12058.593750	-25.928732
12080.126953	-26.303944
12101.660156	-26.058544
12123.193359	-25.747776
12144.726563	-25.934141
12166.259766	-26.011091
12187.792969	-26.170425
12209.326172	-26.315823
12230.859375	-26.046455
12252.392578	-25.794666
12273.925781	-25.718830
12295.458984	-25.609215
12316.992188	-25.431786
12338.525391	-26.028137
12360.058594	-25.714407
12381.591797	-25.502300
12403.125000	-26.064003
12424.658203	-26.481537
12446.191406	-26.249556
12467.724609	-26.587608
12489.257813	-26.722958
12510.791016	-26.811567
12532.324219	-26.800770
12553.857422	-26.441868
12575.390625	-26.059223
12596.923828	-26.309761
12618.457031	-26.377512
12639.990234	-26.077448
12661.523438	-26.431763
12683.056641	-26.544537
12704.589844	-26.237160
12726.123047	-26.832426
12747.656250	-26.658743
12769.189453	-26.082693
12790.722656	-25.979195
12812.255859	-26.444635
12833.789063	-26.130110
12855.322266	-25.835270
12876.855469	-25.443079
12898.388672	-24.949026
12919.921875	-25.026937
12941.455078	-25.444271
12962.988281	-25.549103
12984.521484	-25.584858
13006.054688	-25.328644
13027.587891	-25.277851
13049.121094	-25.330549
13070.654297	-25.701729
13092.187500	-25.242619
13113.720703	-25.308826
13135.253906	-25.411896
13156.787109	-25.631630
13178.320313	-25.487051
13199.853516	-25.690819
13221.386719	-25.334145
13242.919922	-24.625645
13264.453125	-24.630905
13285.986328	-24.792799
13307.519531	-25.030542
13329.052734	-24.878702
13350.585938	-24.773712
13372.119141	-24.814949
13393.652344	-24.409061
13415.185547	-24.675932
13436.718750	-24.939741
13458.251953	-25.014505
13479.785156	-24.899809
13501.318359	-25.049246
13522.851563	-25.422039
13544.384766	-25.234413
13565.917969	-25.363750
13587.451172	-25.963511
13608.984375	-26.202332
13630.517578	-26.037846
13652.050781	-26.087933
13673.583984	-26.061790
13695.117188	-26.640034
13716.650391	-27.029303
13738.183594	-26.870142
13759.716797	-26.220732
13781.250000	-26.305269
13802.783203	-26.645096
13824.316406	-26.389061
13845.849609	-26.375505
13867.382813	-26.268167
13888.916016	-26.264532
13910.449219	-26.205767
13931.982422	-26.338673
13953.515625	-26.253157
13975.048828	-25.916918
13996.582031	-25.506229
14018.115234	-25.961660
14039.648438	-26.250986
14061.181641	-26.087448
14082.714844	-26.824293
14104.248047	-26.546158
14125.781250	-26.307003
14147.314453	-26.057230
14168.847656	-26.668570
14190.380859	-27.102007
14211.914063	-27.021133
14233.447266	-27.291344
14254.980469	-26.719318
14276.513672	-26.613464
14298.046875	-26.396368
14319.580078	-26.534130
14341.113281	-26.892332
14362.646484	-26.835419
14384.179688	-26.654051
14405.712891	-26.741142
14427.246094	-27.010378
14448.779297	-27.409061
14470.312500	-27.840672
14491.845703	-27.394850
14513.378906	-27.650896
14534.912109	-27.933493
14556.445313	-27.928045
14577.978516	-27.529430
14599.511719	-27.766272
14621.044922	-27.566067
14642.578125	-27.523363
14664.111328	-27.633154
14685.644531	-27.710386
14707.177734	-27.750156
14728.710938	-27.444782
14750.244141	-27.796635
14771.777344	-28.565407
14793.310547	-28.595551
14814.843750	-28.141556
14836.376953	-28.740721
14857.910156	-28.450895
14879.443359	-28.491043
14900.976563	-29.008375
14922.509766	-28.542747
14944.042969	-28.316843
14965.576172	-28.546650
14987.109375	-28.906513
15008.642578	-28.233080
15030.175781	-27.726387
15051.708984	-27.686510
15073.242188	-27.737511
15094.775391	-27.600555
15116.308594	-27.096891
15137.841797	-27.216118
15159.375000	-27.077053
15180.908203	-26.775339
15202.441406	-27.196203
15223.974609	-27.526243
15245.507813	-27.585751
15267.041016	-27.334568
15288.574219	-27.296638
15310.107422	-27.133102
15331.640625	-27.120430
15353.173828	-27.295237
15374.707031	-27.484468
15396.240234	-26.926250
15417.773438	-27.075325
15439.306641	-27.357250
15460.839844	-27.762001
15482.373047	-28.022186
15503.906250	-27.768158
15525.439453	-27.708323
15546.972656	-28.149889
15568.505859	-28.268732
15590.039063	-28.365435
15611.572266	-28.597929
15633.105469	-28.100054
15654.638672	-28.326408
15676.171875	-28.386280
15697.705078	-28.189205
15719.238281	-28.271833
15740.771484	-28.971821
15762.304688	-28.959673
15783.837891	-28.707396
15805.371094	-29.102396
15826.904297	-30.066170
15848.437500	-30.678656
15869.970703	-30.476507
15891.503906	-30.450047
15913.037109	-30.216757
15934.570313	-30.173321
15956.103516	-30.282461
15977.636719	-30.687721
15999.169922	-30.290951
16020.703125	-29.849665
16042.236328	-29.908010
16063.769531	-30.150423
16085.302734	-30.262383
16106.835938	-30.104782
16128.369141	-29.990606
16149.902344	-29.717087
16171.435547	-29.387878
16192.968750	-28.945240
16214.501953	-29.234249
16236.035156	-29.504313
16257.568359	-29.186440
16279.101563	-28.758692
16300.634766	-28.759022
16322.167969	-28.637453
16343.701172	-28.509399
16365.234375	-28.573435
16386.767578	-28.275656
16408.300781	-28.069227
16429.833984	-28.185070
16451.367188	-28.740574
16472.900391	-28.953611
16494.433594	-29.688099
16515.966797	-29.412848
16537.500000	-29.165268
16559.033203	-30.004177
16580.566406	-30.815008
16602.099609	-30.839836
16623.632813	-31.204506
16645.166016	-31.415781
16666.699219	-31.208345
16688.232422	-31.432905
16709.765625	-31.101048
16731.298828	-31.070169
16752.832031	-31.106159
16774.365234	-31.269022
16795.898438	-30.717953
16817.431641	-30.550941
16838.964844	-30.295979
16860.498047	-30.591375
16882.031250	-30.578262
16903.564453	-29.906847
16925.097656	-29.864365
16946.630859	-30.753540
16968.164063	-30.698736
16989.697266	-30.503376
17011.230469	-30.170362
17032.763672	-30.399054
17054.296875	-31.031481
17075.830078	-31.042114
17097.363281	-30.472631
17118.896484	-30.508026
17140.429688	-30.640320
17161.962891	-30.423735
17183.496094	-30.132294
17205.029297	-29.583870
17226.562500	-29.178396
17248.095703	-29.641270
17269.628906	-29.575861
17291.162109	-29.245735
17312.695313	-28.883890
17334.228516	-28.422485
17355.761719	-28.858561
17377.294922	-29.180649
17398.828125	-29.521751
17420.361328	-29.971661
17441.894531	-30.042080
17463.427734	-29.650902
17484.960938	-29.954565
17506.494141	-30.204859
17528.027344	-30.471815
17549.560547	-30.748030
17571.093750	-30.592253
17592.626953	-30.469503
17614.160156	-30.926876
17635.693359	-31.349586
17657.226563	-31.819920
17678.759766	-32.264637
17700.292969	-32.551334
17721.826172	-32.172104
17743.359375	-32.513969
17764.892578	-33.006935
17786.425781	-32.985157
17807.958984	-33.076931
17829.492188	-32.837677
17851.025391	-32.735172
17872.558594	-32.530983
17894.091797	-32.629456
17915.625000	-33.084709
17937.158203	-32.543037
17958.691406	-32.618504
17980.224609	-32.778042
18001.757813	-32.621117
18023.291016	-32.443439
18044.824219	-32.745670
18066.357422	-33.664135
18087.890625	-33.054611
18109.423828	-32.609585
18130.957031	-32.867695
18152.490234	-33.359394
18174.023438	-33.434574
18195.556641	-33.474720
18217.089844	-33.145363
18238.623047	-32.540356
18260.156250	-32.827442
18281.689453	-32.598091
18303.222656	-32.689941
18324.755859	-32.228096
18346.289063	-32.271523
18367.822266	-32.250233
18389.355469	-32.208920
18410.888672	-31.844521
