Frequency (Hz)	Level (dB)
21.533203	-38.938046
43.066406	-40.418259
64.599609	-40.340107
86.132813	-40.287506
107.666016	-39.575680
129.199219	-40.062077
150.732422	-40.034164
172.265625	-39.749878
193.798828	-39.247326
215.332031	-38.068825
236.865234	-37.557999
258.398438	-38.655693
279.931641	-37.954014
301.464844	-35.868015
322.998047	-29.514578
344.531250	-12.334926
366.064453	-8.222442
387.597656	-15.200122
409.130859	-30.718193
430.664063	-33.814487
452.197266	-34.860371
473.730469	-36.125191
495.263672	-35.503948
516.796875	-34.791592
538.330078	-34.404148
559.863281	-33.484180
581.396484	-33.123173
602.929688	-32.787624
624.462891	-32.280563
645.996094	-30.642233
667.529297	-29.643976
689.062500	-22.942860
710.595703	-10.306857
732.128906	-8.395247
753.662109	-16.173851
775.195313	-27.683018
796.728516	-29.256695
818.261719	-29.738274
839.794922	-28.673370
861.328125	-28.043385
882.861328	-28.506809
904.394531	-27.620771
925.927734	-26.646009
947.460938	-27.520475
968.994141	-27.277515
990.527344	-27.237806
1012.060547	-27.069817
1033.593750	-25.942127
1055.126953	-17.376331
1076.660156	-9.830858
1098.193359	-11.166467
1119.726563	-18.491661
1141.259766	-24.600599
1162.792969	-24.613228
1184.326172	-24.539440
1205.859375	-24.156281
1227.392578	-24.342518
1248.925781	-24.355694
1270.458984	-23.769234
1291.992188	-23.653736
1313.525391	-23.141109
1335.058594	-23.314760
1356.591797	-24.269503
1378.125000	-24.636280
1399.658203	-21.645506
1421.191406	-15.809425
1442.724609	-11.116112
1464.257813	-11.789292
1485.791016	-16.966619
1507.324219	-22.587286
1528.857422	-24.311234
1550.390625	-23.834970
1571.923828	-22.360498
1593.457031	-22.338842
1614.990234	-22.636518
1636.523438	-22.060030
1658.056641	-22.174074
1679.589844	-22.387695
1701.123047	-22.474669
1722.656250	-22.550501
1744.189453	-23.037477
1765.722656	-21.634142
1787.255859	-16.894339
1808.789063	-16.372910
1830.322266	-19.264864
1851.855469	-23.267340
1873.388672	-24.481245
1894.921875	-24.103176
1916.455078	-23.221182
1937.988281	-21.952343
1959.521484	-22.814001
1981.054688	-23.666334
2002.587891	-22.995804
2024.121094	-21.941769
2045.654297	-21.795061
2067.187500	-21.976608
2088.720703	-20.565256
2110.253906	-20.204905
2131.787109	-19.074265
2153.320313	-15.817283
2174.853516	-17.970423
2196.386719	-19.424507
2217.919922	-20.241060
2239.453125	-22.225361
2260.986328	-23.786421
2282.519531	-24.399805
2304.052734	-25.756475
2325.585938	-26.014267
2347.119141	-27.642292
2368.652344	-27.845963
2390.185547	-27.840273
2411.718750	-25.843996
2433.251953	-24.530813
2454.785156	-23.857866
2476.318359	-24.195278
2497.851563	-21.782532
2519.384766	-18.169106
2540.917969	-18.072374
2562.451172	-19.540516
2583.984375	-23.367010
2605.517578	-26.023996
2627.050781	-28.042212
2648.583984	-28.272480
2670.117188	-28.746792
2691.650391	-26.328745
2713.183594	-24.406355
2734.716797	-23.927795
2756.250000	-23.776693
2777.783203	-23.241056
2799.316406	-22.419041
2820.849609	-21.847586
2842.382813	-22.453941
2863.916016	-18.500650
2885.449219	-16.109137
2906.982422	-16.248751
2928.515625	-16.951233
2950.048828	-17.388357
2971.582031	-18.931044
2993.115234	-20.239065
3014.648438	-19.636013
3036.181641	-19.600807
3057.714844	-19.370745
3079.248047	-20.023750
3100.781250	-19.793997
3122.314453	-19.736357
3143.847656	-21.887213
3165.380859	-20.759148
3186.914063	-20.547909
3208.447266	-21.086130
3229.980469	-18.621267
3251.513672	-17.698198
3273.046875	-18.058880
3294.580078	-18.831604
3316.113281	-20.411762
3337.646484	-23.681780
3359.179688	-26.023344
3380.712891	-24.565144
3402.246094	-24.890230
3423.779297	-25.794537
3445.312500	-25.040194
3466.845703	-25.009716
3488.378906	-24.614294
3509.912109	-24.631308
3531.445313	-24.988817
3552.978516	-23.982084
3574.511719	-24.626717
3596.044922	-24.785669
3617.578125	-23.493467
3639.111328	-24.200169
3660.644531	-25.577974
3682.177734	-27.934696
3703.710938	-26.426336
3725.244141	-26.645023
3746.777344	-27.281351
3768.310547	-28.705139
3789.843750	-27.448519
3811.376953	-25.434921
3832.910156	-25.595791
3854.443359	-26.210770
3875.976563	-23.960718
3897.509766	-22.831907
3919.042969	-22.510796
3940.576172	-22.471548
3962.109375	-22.445103
3983.642578	-22.772703
4005.175781	-22.670277
4026.708984	-22.753687
4048.242188	-21.515282
4069.775391	-20.935904
4091.308594	-21.929480
4112.841797	-21.951836
4134.375000	-21.009371
4155.908203	-21.866558
4177.441406	-22.037533
4198.974609	-21.441397
4220.507813	-22.023420
4242.041016	-22.151331
4263.574219	-21.711727
4285.107422	-21.325230
4306.640625	-21.336641
4328.173828	-21.891068
4349.707031	-21.983782
4371.240234	-21.782429
4392.773438	-22.278551
4414.306641	-22.741688
4435.839844	-23.164717
4457.373047	-23.361614
4478.906250	-23.259235
4500.439453	-23.578737
4521.972656	-24.379284
4543.505859	-24.935144
4565.039063	-25.670628
4586.572266	-26.215353
4608.105469	-26.330257
4629.638672	-25.509924
4651.171875	-24.946218
4672.705078	-25.246437
4694.238281	-25.131338
4715.771484	-24.705879
4737.304688	-25.479906
4758.837891	-25.470669
4780.371094	-24.789625
4801.904297	-25.919741
4823.437500	-26.544121
4844.970703	-25.725164
4866.503906	-25.272839
4888.037109	-25.478415
4909.570313	-25.894299
4931.103516	-26.256987
4952.636719	-26.158838
4974.169922	-26.855991
4995.703125	-26.753939
5017.236328	-26.427425
5038.769531	-25.659054
5060.302734	-25.880291
5081.835938	-25.657965
5103.369141	-25.648764
5124.902344	-26.690224
5146.435547	-27.177402
5167.968750	-27.098791
5189.501953	-27.441177
5211.035156	-27.225431
5232.568359	-27.119633
5254.101563	-27.569273
5275.634766	-27.385618
5297.167969	-26.845150
5318.701172	-26.372013
5340.234375	-25.682264
5361.767578	-24.694538
5383.300781	-23.378456
5404.833984	-22.392778
5426.367188	-22.085758
5447.900391	-22.062178
5469.433594	-21.696535
5490.966797	-21.941889
5512.500000	-22.697460
5534.033203	-23.580606
5555.566406	-23.248119
5577.099609	-23.284025
5598.632813	-23.623823
5620.166016	-23.444540
5641.699219	-22.886766
5663.232422	-22.673645
5684.765625	-23.151775
5706.298828	-22.859070
5727.832031	-22.597822
5749.365234	-22.719002
5770.898438	-22.794222
5792.431641	-22.725710
5813.964844	-22.941206
5835.498047	-24.222759
5857.031250	-25.321535
5878.564453	-25.827679
5900.097656	-26.444077
5921.630859	-26.707851
5943.164063	-27.245146
5964.697266	-27.578737
5986.230469	-27.220606
6007.763672	-27.168062
6029.296875	-27.375566
6050.830078	-28.067326
6072.363281	-28.348124
6093.896484	-27.695683
6115.429688	-27.262663
6136.962891	-27.380217
6158.496094	-27.372194
6180.029297	-27.502329
6201.562500	-28.025311
6223.095703	-28.295319
6244.628906	-27.625965
6266.162109	-27.044888
6287.695313	-26.381897
6309.228516	-25.380943
6330.761719	-24.993088
6352.294922	-24.759251
6373.828125	-23.521231
6395.361328	-23.593796
6416.894531	-23.621277
6438.427734	-22.746710
6459.960938	-22.898157
6481.494141	-22.104334
6503.027344	-21.263870
6524.560547	-21.775808
6546.093750	-22.348362
6567.626953	-22.739069
6589.160156	-23.210529
6610.693359	-23.069859
6632.226563	-22.750536
6653.759766	-22.507616
6675.292969	-22.837559
6696.826172	-23.362694
6718.359375	-23.760174
6739.892578	-24.230892
6761.425781	-23.503052
6782.958984	-23.230295
6804.492188	-23.683710
6826.025391	-23.731451
6847.558594	-23.587172
6869.091797	-23.000164
6890.625000	-23.514362
6912.158203	-24.203222
6933.691406	-24.203703
6955.224609	-23.894459
6976.757813	-23.850380
6998.291016	-23.745766
7019.824219	-23.404530
7041.357422	-23.949272
7062.890625	-24.044744
7084.423828	-24.010700
7105.957031	-23.878487
7127.490234	-23.225533
7149.023438	-23.135241
7170.556641	-23.419771
7192.089844	-23.846663
7213.623047	-23.557013
7235.156250	-23.764097
7256.689453	-23.842249
7278.222656	-23.930738
7299.755859	-24.424713
7321.289063	-24.371513
7342.822266	-24.169931
7364.355469	-24.180256
7385.888672	-24.398355
7407.421875	-24.483986
7428.955078	-24.304873
7450.488281	-24.480862
7472.021484	-24.692663
7493.554688	-24.589483
7515.087891	-24.777308
7536.621094	-25.540586
7558.154297	-25.827988
7579.687500	-25.726461
7601.220703	-24.890482
7622.753906	-25.488735
7644.287109	-25.740366
7665.820313	-25.295851
7687.353516	-25.098631
7708.886719	-25.596769
7730.419922	-26.262983
7751.953125	-26.572315
7773.486328	-27.470570
7795.019531	-28.089457
7816.552734	-28.069382
7838.085938	-28.555155
7859.619141	-28.089106
7881.152344	-27.978985
7902.685547	-27.860497
7924.218750	-26.874439
7945.751953	-27.480005
7967.285156	-27.535435
7988.818359	-26.860445
8010.351563	-26.607353
8031.884766	-26.771212
8053.417969	-26.426750
8074.951172	-26.336473
8096.484375	-26.617413
8118.017578	-26.804298
8139.550781	-27.309549
8161.083984	-26.931885
8182.617188	-27.011686
8204.150391	-26.643204
8225.683594	-26.625322
8247.216797	-26.933584
8268.750000	-26.742163
8290.283203	-26.889816
8311.816406	-26.703796
8333.349609	-27.068836
8354.882813	-27.368206
8376.416016	-27.170298
8397.949219	-27.649702
8419.482422	-28.011665
8441.015625	-28.510563
8462.548828	-28.789001
8484.082031	-28.487894
8505.615234	-28.445053
8527.148438	-28.694733
8548.681641	-28.348431
8570.214844	-28.287807
8591.748047	-29.081816
8613.281250	-29.208942
8634.814453	-28.488626
8656.347656	-29.008858
8677.880859	-28.945753
8699.414063	-28.308409
8720.947266	-28.442389
8742.480469	-28.423311
8764.013672	-27.926256
8785.546875	-28.439569
8807.080078	-28.567545
8828.613281	-29.107420
8850.146484	-28.798601
8871.679688	-28.886898
8893.212891	-29.926792
8914.746094	-30.250862
8936.279297	-30.817438
8957.812500	-31.459122
8979.345703	-31.236921
9000.878906	-31.695475
9022.412109	-31.933432
9043.945313	-32.198078
9065.478516	-32.356049
9087.011719	-32.037575
9108.544922	-32.095425
9130.078125	-32.718071
9151.611328	-31.897171
9173.144531	-32.014675
9194.677734	-32.786293
9216.210938	-31.420017
9237.744141	-30.945826
9259.277344	-31.743164
9280.810547	-31.370783
9302.343750	-30.929605
9323.876953	-31.181528
9345.410156	-31.311403
9366.943359	-31.552719
9388.476563	-31.549376
9410.009766	-31.792418
9431.542969	-32.524151
9453.076172	-32.149277
9474.609375	-31.659819
9496.142578	-32.080502
9517.675781	-32.422028
9539.208984	-32.588242
9560.742188	-32.722385
9582.275391	-32.195526
9603.808594	-32.503696
9625.341797	-32.022118
9646.875000	-31.395443
9668.408203	-31.024618
9689.941406	-31.291517
9711.474609	-31.367496
9733.007813	-30.786177
9754.541016	-30.463383
9776.074219	-31.252502
9797.607422	-30.852646
9819.140625	-30.021296
9840.673828	-30.529287
9862.207031	-30.403870
9883.740234	-30.503210
9905.273438	-30.813904
9926.806641	-30.730598
9948.339844	-31.265839
9969.873047	-31.680592
9991.406250	-31.911861
10012.939453	-31.958549
10034.472656	-32.182796
10056.005859	-32.796837
10077.539063	-33.113247
10099.072266	-33.109859
10120.605469	-33.355503
10142.138672	-33.735855
10163.671875	-33.991238
10185.205078	-34.490543
10206.738281	-34.262596
10228.271484	-34.534870
10249.804688	-34.823650
10271.337891	-34.214333
10292.871094	-33.415642
10314.404297	-33.603874
10335.937500	-33.245880
10357.470703	-33.000774
10379.003906	-32.559624
10400.537109	-32.137985
10422.070313	-32.443977
10443.603516	-32.671135
10465.136719	-32.962795
10486.669922	-33.401699
10508.203125	-33.152275
10529.736328	-32.769016
10551.269531	-33.112518
10572.802734	-33.902298
10594.335938	-33.684296
10615.869141	-33.063400
10637.402344	-33.285168
10658.935547	-33.775906
10680.468750	-33.151207
10702.001953	-33.218380
10723.535156	-33.404079
10745.068359	-33.025024
10766.601563	-32.873558
10788.134766	-33.083523
10809.667969	-33.267139
10831.201172	-32.989170
10852.734375	-32.922077
10874.267578	-32.618809
10895.800781	-32.914307
10917.333984	-32.915421
10938.867188	-33.122799
10960.400391	-33.485531
10981.933594	-33.455051
11003.466797	-33.184395
11025.000000	-33.815666
11046.533203	-33.587246
11068.066406	-33.209579
11089.599609	-33.984089
11111.132813	-34.061687
11132.666016	-33.824135
11154.199219	-34.275936
11175.732422	-34.936779
